Date,Windows,OS X,Linux,Unknown,FreeBSD
2012-01,89.62,7.33,0.82,0.07,0.05
2012-02,89.5,7.41,0.83,0.08,0.04
2012-03,89.37,7.32,0.83,0.14,0.04
2012-04,88.75,7.66,0.85,0.05,0.04
2012-05,88.81,7.45,0.86,0.05,0.04
2012-06,88.89,7.05,0.83,0.05,0.15
2012-07,88.85,6.92,0.83,0.06,0.04
2012-08,91.54,7.41,0.85,0.06,0.02
2012-09,91.18,7.75,0.88,0.06,0.02
2012-10,91.04,7.87,0.9,0.06,0.01
2012-11,91.02,7.86,0.9,0.06,0.01
2012-12,91.22,7.69,0.88,0.07,0.01
