Date,Win10,Win7,Win8.1,WinXP,Win8,WinVista,Win2003
2018-01,42.78,41.86,8.72,3.36,2.44,0.74,0.07
2018-02,43.53,41.59,8.51,3.2,2.48,0.62,0.06
2018-03,43.95,41.51,7.99,3.42,2.44,0.61,0.07
2018-04,46.07,40.08,7.93,3.18,2.05,0.61,0.07
2018-05,47.21,39.44,7.78,2.98,1.92,0.61,0.06
2018-06,46.75,39.63,7.7,2.97,2.23,0.65,0.06
2018-07,47.25,39.06,7.56,2.88,2.54,0.63,0.05
2018-08,48.19,38.65,7.34,3.06,2.1,0.6,0.05
2018-09,50.07,37.2,7.35,2.51,2.24,0.58,0.04
2018-10,51.94,36.31,7.02,2.16,1.97,0.55,0.04
2018-11,52.7,35.55,6.85,2.22,2.03,0.59,0.04
2018-12,52.36,35.63,6.95,2.33,2.03,0.63,0.05
