Date,Win10,Win7,Win8.1,Win8,WinXP,WinVista,Win2003
2021-01,77.47,16.81,3.78,0.97,0.67,0.25,0.02
2021-02,77.65,16.55,3.66,1.09,0.72,0.29,0.02
2021-03,78.34,16.2,3.53,0.97,0.67,0.27,0.02
2021-04,78.03,16.27,3.48,1.14,0.72,0.3,0.02
2021-05,78.88,15.52,3.44,1.27,0.6,0.25,0.02
2021-06,78.89,15.56,3.46,1.25,0.58,0.23,0.02
2021-07,78.38,16.06,3.5,1.17,0.59,0.26,0.03
2021-08,78.35,15.96,3.62,1.16,0.6,0.28,0.01
2021-09,79.84,14.77,3.36,1.16,0.59,0.26,0.02
2021-10,81.44,13.56,3.17,1.07,0.53,0.21,0.01
2021-11,82.45,12.76,3.16,0.9,0.5,0.2,0.01
2021-12,82.49,12.91,3.12,0.76,0.51,0.19,0.01
